SALE|20210928|Dana Wyatt|dana@texas.com|10112|1993|Ford|Explorer|SUV|Red|525123|995.00|49.75|100.00|295.00|1439.75|NO|0.00
LEASE|20210928|Zachary Westly|zach@texas.com|37846|2021|Chevrolet|Silverado|truck|Black|2750|31995.00|15997.50|2239.65| 18237.15| 540.72
LEASE|20251030|ayah|ayah@mail.com|1742590|2025|Lambo|G17|Car|Yellow|11244|50000.00|25000.00|3500.00|28500.00|841.43
LEASE|20251030|ayay|ayah@gmail.com|1742592|2025|Honda|model 2|Suv|blue|14521|12000.00|6000.00|840.00|6840.00|201.94
SALE|20251030|sabrina|sabrina@gmail.com|20110|2017|Mercedes|C300|Car|Gray|334455|21995.00|1099.75|100.00|495.00|23689.75|YES|537.55
LEASE|20251030|rajab|rajab@gmail.com|20109|2024|Ford|Bronco|SUV|Orange|908234|34995.00|17497.50|2449.65|19947.15|588.92
SALE|20251030|xavier|xavier@gmail.com|20108|2009|Subaru|Outback|Wagon|Brown|667122|5495.00|274.75|100.00|295.00|6164.75|yes|271.15
LEASE|20251030|at|at@yahoo.com|15201|2025|Ford |Ramger |Car|Blue|52000|15.00|7.50|1.05|8.55|0.25
LEASE|20251030|j|jz@|30103|2025|Ford|F-150|Truck|Blue|230|41950.00|20975.00|2936.50|23911.50|705.96
LEASE|20251030|hy|hhh|30104|2024|Chevrolet|Malibu|Car|Black|11200|25995.00|12997.50|1819.65|14817.15|437.46
LEASE|20251030|jj|jjjj|30105|2024|Kia|Sportage|SUV|Gray|5400|28995.00|14497.50|2029.65|31024.65|487.95
LEASE|20251031|ll|ll|30110|2023|Jeep|Wrangler|SUV|Black|14700|38995.00|19497.50|2729.65|41724.65|656.23
SALE|20251031|jjj|kkk|10112|1993|Ford|Explorer|SUV|Red|525123|995.00|49.75|100.00|295.00|YES|1439.75|63.33
SALE|20251031|sab|sab@gmail.com|15120|2020|Honda|Civic|Car|Blue|22545|20.00|1.00|100.00|295.00|YES|416.00|18.30
SALE|20251105|sabrina|sabrina@gmail.com|20104|2024|tesla|model 3|car|Red|5|15000.00|750.00|100.00|495.00|YES|16345.00|370.89
